movie_id,title,original_language,release_date,runtime
the+prophecy+3+the+ascent+2000,The Prophecy 3: The Ascent,en,2000-03-14,103
tomcats+2001,Tomcats,en,2001-03-30,95
a+double+life+1947,A Double Life,en,1947-12-25,104
air+america+1990,Air America,en,1990-08-10,112
escape+from+planet+earth+2013,Escape from Planet Earth,en,2013-02-14,89
nighthawks+1981,Nighthawks,en,1981-03-17,99
princesse+tam+tam+1935,Princesse Tam Tam,en,1935-11-02,77
margaret+cho+im+the+one+that+i+want+2000,Margaret Cho: I'm the One That I Want,en,2000-07-01,96
under+the+same+moon+2008,Under the Same Moon,es,2008-03-20,106
polite+people+2013,Polite People,en,2013-03-31,0
mass+appeal+1984,Mass Appeal,en,1984-12-14,99
dallas+-+war+of+the+ewings+1998,Dallas - War of The Ewings,en,1998-04-23,120
retreat+2011,Retreat,en,2011-10-14,89
lemming+2005,Lemming,fr,2005-05-11,130
the+rebound+2009,The Rebound,en,2009-09-16,95
neil+young+journeys+2012,Neil Young Journeys,en,2012-06-29,87
sex++drugs++rock++roll+2010,Sex & Drugs & Rock & Roll,en,2010-01-08,115
american+ninja+2+the+confrontation+1987,American Ninja 2: The Confrontation,en,1987-05-01,90
blink+1994,Blink,en,1994-01-26,106
a+burning+hot+summer+2011,A Burning Hot Summer,fr,2011-09-28,95
federal+hill+1995,Federal Hill,en,1995-02-24,97
the+vampire+lovers+1970,The Vampire Lovers,en,1970-10-04,91
the+howards+of+virginia+1940,The Howards of Virginia,en,1940-09-19,116
the+flame+of+new+orleans+1941,The Flame of New Orleans,en,1941-07-07,79
rosso+1985,Rosso,en,1985-08-26,0
blood+and+sand+1989,Blood and Sand,de,1989-09-22,113
something+borrowed+2011,Something Borrowed,en,2011-05-05,112
the+lawless+1950,The Lawless,en,1950-06-01,83
mariage++mendoza+2013,Mariage à Mendoza,fr,2013-01-23,0
shark+skin+man+and+peach+hip+girl+1998,Shark Skin Man and Peach Hip Girl,ja,1998-01-01,108
dragon+day+2013,Dragon Day,en,2013-01-10,96
river+of+grass+1995,River of Grass,en,1995-08-04,76
the+wolfman+2010,The Wolfman,en,2010-02-11,102
torpedo+bombers+1983,Torpedo Bombers,ru,1983-08-01,96
brunet+wieczorow+por+1976,Brunet wieczorową porą,pl,1976-10-18,90
d.o.a.+1950,D.O.A.,en,1950-04-30,83
flirting+1991,Flirting,en,1991-03-20,99
twice+upon+a+yesterday+1998,Twice Upon a Yesterday,en,1998-11-27,91
sense+and+sensibility+2008,Sense and Sensibility,en,2008-01-01,174
the+reeds+2009,The Reeds,en,2009-10-30,90
safe+house+2012,Safe House,en,2012-02-09,115
pigs+with+a+p.38+1978,Pigs with a P.38,it,1978-09-23,0
the+mummy+1959,The Mummy,en,1959-09-29,86
sita+sings+the+blues+2008,Sita Sings the Blues,en,2008-02-11,82
trans-europ-express+1966,Trans-Europ-Express,fr,1966-01-01,105
the+water+horse+2007,The Water Horse,en,2007-12-25,112
rubber+2010,Rubber,en,2010-07-09,85
sabotage+2014,Sabotage,en,2014-03-28,110
agent+vinod+2012,Agent Vinod,hi,2012-03-23,157
legally+blondes+2009,Legally Blondes,en,2009-04-28,86
at+first+sight+1999,At First Sight,en,1999-01-15,128
levitated+mass+2013,Levitated Mass,en,2013-06-20,88
mighty+aphrodite+1995,Mighty Aphrodite,en,1995-09-13,95
pippi+on+the+run+1970,Pippi on the Run,sv,1970-11-13,94
the+wedding+director+2006,The Wedding Director,en,2006-04-21,97
captain+america+1990,Captain America,en,1990-12-14,97
step+up+love+story+2000,Step Up Love Story,en,2000-01-01,120
doomsday+2008,Doomsday,en,2008-03-14,108
intimate+affairs+2002,Intimate Affairs,en,2002-04-18,108
a+small+town+in+texas+1976,A Small Town in Texas,en,1976-07-09,96
blind+dating+2006,Blind Dating,en,2006-07-28,99
abba+-+the+movie+1977,ABBA - The Movie,en,1977-12-15,95
whole+2003,Whole,en,2003-06-12,55
visit+to+a+small+planet+1960,Visit to a Small Planet,en,1960-01-01,85
wrong+turn+at+tahoe+2009,Wrong Turn at Tahoe,en,2009-11-16,91
just+one+of+the+girls+1993,Just One of the Girls,en,1993-09-13,91
bluebeard+1972,Bluebeard,en,1972-09-01,125
transcendent+man+2009,Transcendent Man,en,2009-04-25,83
midnight+dancers+1994,Midnight Dancers,en,1994-09-09,100
not+on+the+lips+2003,Not on the Lips,fr,2003-12-03,115
bad+luck+love+2000,Bad Luck Love,fi,2000-05-26,94
the+south+shaolin+master+1984,The South Shaolin Master,en,1984-04-14,96
half+light+2006,Half Light,en,2006-01-17,110
abandon+2002,Abandon,en,2002-10-14,99
where+the+boys+are+1960,Where the Boys Are,en,1960-12-28,99
